48.800000,10.3549
48.803333,10.3543
48.803333,10.3543
48.806667,10.3571
48.806667,10.3571
48.810000,10.3576
48.813333,10.3582
48.813333,10.3582
48.816667,10.3566
48.816667,10.3566
48.820000,10.3569
48.823333,10.3593
48.823333,10.3593
48.826667,10.3576
48.826667,10.3576
48.830000,10.3581
48.833333,10.3574
48.833333,10.3574
48.836667,10.3586
48.836667,10.3586
48.840000,10.3610
48.843333,10.3594
48.843333,10.3594
48.846667,10.3559
48.846667,10.3559
48.850000,10.3594
48.853333,10.3587
48.853333,10.3587
48.856667,10.3615
48.856667,10.3615
48.860000,10.3557
48.863333,10.3567
48.863333,10.3567
48.866667,10.3536
48.866667,10.3536
48.870000,10.3611
48.873333,10.3577
48.873333,10.3577
48.876667,10.3603
48.876667,10.3603
48.880000,10.3576
48.883333,10.3560
48.883333,10.3560
48.886667,10.3566
48.886667,10.3566
48.890000,10.3574
48.893333,10.3561
48.893333,10.3561
48.896667,10.3579
48.896667,10.3579
48.900000,10.3550
48.903333,10.3613
48.903333,10.3613
48.906667,10.3596
48.906667,10.3596
48.910000,10.3562
48.913333,10.3588
48.913333,10.3588
48.916667,10.3572
48.916667,10.3572
48.920000,10.3578
48.923333,10.3575
48.923333,10.3575
48.926667,10.3571
48.926667,10.3571
48.930000,10.3588
48.933333,10.3557
48.933333,10.3557
48.936667,10.3599
48.936667,10.3599
48.940000,10.3570
48.943333,10.3538
48.943333,10.3538
48.946667,10.3620
48.946667,10.3620
48.950000,10.3593
48.953333,10.3579
48.953333,10.3579
48.956667,10.3595
48.956667,10.3595
48.960000,10.3577
48.963333,10.3573
48.963333,10.3573
48.966667,10.3590
48.966667,10.3590
48.970000,10.3602
48.973333,10.3596
48.973333,10.3596
48.976667,10.3540
48.976667,10.3540
48.980000,10.3531
48.983333,10.3601
48.983333,10.3601
48.986667,10.3599
48.986667,10.3599
48.990000,10.3578
48.993333,10.3574
48.993333,10.3574
48.996667,10.3565
48.996667,10.3565
49.000000,10.3581
49.003333,10.3601
49.003333,10.3601
49.006667,10.3609
49.006667,10.3609
49.010000,10.3589
49.013333,10.3590
49.013333,10.3590
49.016667,10.3568
49.016667,10.3568
49.020000,10.3582
49.023333,10.3597
49.023333,10.3597
49.026667,10.3561
49.026667,10.3561
49.030000,10.3591
49.033333,10.3549
49.033333,10.3549
49.036667,10.3599
49.036667,10.3599
49.040000,10.3578
49.043333,10.3562
49.043333,10.3562
49.046667,10.3617
49.046667,10.3617
49.050000,10.3562
49.053333,10.3564
49.053333,10.3564
49.056667,10.3554
49.056667,10.3554
49.060000,10.3624
49.063333,10.3595
49.063333,10.3595
49.066667,10.3552
49.066667,10.3552
49.070000,10.3577
49.073333,10.3603
49.073333,10.3603
49.076667,10.3551
49.076667,10.3551
49.080000,10.3627
49.083333,10.3571
49.083333,10.3571
49.086667,10.3592
49.086667,10.3592
49.090000,10.3611
49.093333,10.3582
49.093333,10.3582
49.096667,10.3578
49.096667,10.3578
49.100000,10.3578
49.103333,10.3586
49.103333,10.3586
49.106667,10.3571
49.106667,10.3571
49.110000,10.3555
49.113333,10.3599
49.113333,10.3599
49.116667,10.3615
49.116667,10.3615
49.120000,10.3568
49.123333,10.3582
49.123333,10.3582
49.126667,10.3560
49.126667,10.3560
49.130000,10.3597
49.133333,10.3534
49.133333,10.3534
49.136667,10.3567
49.136667,10.3567
49.140000,10.3572
49.143333,10.3591
49.143333,10.3591
49.146667,10.3565
49.146667,10.3565
49.150000,10.3588
49.153333,10.3543
49.153333,10.3543
49.156667,10.3563
49.156667,10.3563
49.160000,10.3585
49.163333,10.3599
49.163333,10.3599
49.166667,10.3602
49.166667,10.3602
49.170000,10.3625
49.173333,10.3597
49.173333,10.3597
49.176667,10.3604
49.176667,10.3604
49.180000,10.3623
49.183333,10.3573
49.183333,10.3573
49.186667,10.3574
49.186667,10.3574
49.190000,10.3622
49.193333,10.3557
49.193333,10.3557
49.196667,10.3580
49.196667,10.3580
49.200000,10.3569
49.203333,10.3586
49.203333,10.3586
49.206667,10.3585
49.206667,10.3585
49.210000,10.3595
49.213333,10.3590
49.213333,10.3590
49.216667,10.3631
49.216667,10.3631
49.220000,10.3599
49.223333,10.3614
49.223333,10.3614
49.226667,10.3597
49.226667,10.3597
49.230000,10.3566
49.233333,10.3579
49.233333,10.3579
49.236667,10.3581
49.236667,10.3581
49.240000,10.3554
49.243333,10.3571
49.243333,10.3571
49.246667,10.3576
49.246667,10.3576
49.250000,10.3622
49.253333,10.3569
49.253333,10.3569
49.256667,10.3568
49.256667,10.3568
49.260000,10.3577
49.263333,10.3575
49.263333,10.3575
49.266667,10.3533
49.266667,10.3533
49.270000,10.3541
49.273333,10.3588
49.273333,10.3588
49.276667,10.3633
49.276667,10.3633
49.280000,10.3584
49.283333,10.3579
49.283333,10.3579
49.286667,10.3572
49.286667,10.3572
49.290000,10.3618
49.293333,10.3539
49.293333,10.3539
49.296667,10.3532
49.296667,10.3532
49.300000,10.3608
49.303333,10.3607
49.303333,10.3607
49.306667,10.3584
49.306667,10.3584
49.310000,10.3597
49.313333,10.3547
49.313333,10.3547
49.316667,10.3587
49.316667,10.3587
49.320000,10.3565
49.323333,10.3606
49.323333,10.3606
49.326667,10.3604
49.326667,10.3604
49.330000,10.3589
49.333333,10.3614
49.333333,10.3614
49.336667,10.3549
49.336667,10.3549
49.340000,10.3587
49.343333,10.3564
49.343333,10.3564
49.346667,10.3603
49.346667,10.3603
49.350000,10.3578
49.353333,10.3610
49.353333,10.3610
49.356667,10.3596
49.356667,10.3596
49.360000,10.3552
49.363333,10.3558
49.363333,10.3558
49.366667,10.3578
49.366667,10.3578
49.370000,10.3559
49.373333,10.3594
49.373333,10.3594
49.376667,10.3524
49.376667,10.3524
49.380000,10.3590
49.383333,10.3592
49.383333,10.3592
49.386667,10.3589
49.386667,10.3589
49.390000,10.3627
49.393333,10.3563
49.393333,10.3563
49.396667,10.3571
49.396667,10.3571
49.400000,10.3588
49.403333,10.3616
49.403333,10.3616
49.406667,10.3585
49.406667,10.3585
49.410000,10.3575
49.413333,10.3569
49.413333,10.3569
49.416667,10.3600
49.416667,10.3600
49.420000,10.3592
49.423333,10.3567
49.423333,10.3567
49.426667,10.3615
49.426667,10.3615
49.430000,10.3569
49.433333,10.3585
49.433333,10.3585
49.436667,10.3554
49.436667,10.3554
49.440000,10.3579
49.443333,10.3564
49.443333,10.3564
49.446667,10.3580
49.446667,10.3580
49.450000,10.3579
49.453333,10.3611
49.453333,10.3611
49.456667,10.3606
49.456667,10.3606
49.460000,10.3593
49.463333,10.3565
49.463333,10.3565
49.466667,10.3573
49.466667,10.3573
49.470000,10.3580
49.473333,10.3565
49.473333,10.3565
49.476667,10.3583
49.476667,10.3583
49.480000,10.3574
49.483333,10.3557
49.483333,10.3557
49.486667,10.3583
49.486667,10.3583
49.490000,10.3602
49.493333,10.3599
49.493333,10.3599
49.496667,10.3561
49.496667,10.3561
49.500000,10.3552
49.503333,10.3572
49.503333,10.3572
49.506667,10.3570
49.506667,10.3570
49.510000,10.3555
49.513333,10.3607
49.513333,10.3607
49.516667,10.3555
49.516667,10.3555
49.520000,10.3602
49.523333,10.3605
49.523333,10.3605
49.526667,10.3528
49.526667,10.3528
49.530000,10.3585
49.533333,10.3573
49.533333,10.3573
49.536667,10.3561
49.536667,10.3561
49.540000,10.3567
49.543333,10.3542
49.543333,10.3542
49.546667,10.3548
49.546667,10.3548
49.550000,10.3547
49.553333,10.3560
49.553333,10.3560
49.556667,10.3592
49.556667,10.3592
49.560000,10.3602
49.563333,10.3582
49.563333,10.3582
49.566667,10.3588
49.566667,10.3588
49.570000,10.3574
49.573333,10.3582
49.573333,10.3582
49.576667,10.3567
49.576667,10.3567
49.580000,10.3574
49.583333,10.3565
49.583333,10.3565
49.586667,10.3556
49.586667,10.3556
49.590000,10.3582
49.593333,10.3574
49.593333,10.3574
49.596667,10.3584
49.596667,10.3584
49.600000,10.3545
49.603333,10.3570
49.603333,10.3570
49.606667,10.3567
49.606667,10.3567
49.610000,10.3571
49.613333,10.3579
49.613333,10.3579
49.616667,10.3605
49.616667,10.3605
49.620000,10.3597
49.623333,10.3579
49.623333,10.3579
49.626667,10.3616
49.626667,10.3616
49.630000,10.3581
49.633333,10.3603
49.633333,10.3603
49.636667,10.3570
49.636667,10.3570
49.640000,10.3603
49.643333,10.3589
49.643333,10.3589
49.646667,10.3570
49.646667,10.3570
49.650000,10.3599
49.653333,10.3551
49.653333,10.3551
49.656667,10.3593
49.656667,10.3593
49.660000,10.3593
49.663333,10.3595
49.663333,10.3595
49.666667,10.3601
49.666667,10.3601
49.670000,10.3583
49.673333,10.3569
49.673333,10.3569
49.676667,10.3558
49.676667,10.3558
49.680000,10.3586
49.683333,10.3589
49.683333,10.3589
49.686667,10.3568
49.686667,10.3568
49.690000,10.3571
49.693333,10.3607
49.693333,10.3607
49.696667,10.3558
49.696667,10.3558
49.700000,10.3584
49.703333,10.3575
49.703333,10.3575
49.706667,10.3571
49.706667,10.3571
49.710000,10.3599
49.713333,10.3588
49.713333,10.3588
49.716667,10.3580
49.716667,10.3580
49.720000,10.3591
49.723333,10.3575
49.723333,10.3575
49.726667,10.3566
49.726667,10.3566
49.730000,10.3540
49.733333,10.3593
49.733333,10.3593
49.736667,10.3556
49.736667,10.3556
49.740000,10.3576
49.743333,10.3601
49.743333,10.3601
49.746667,10.3580
49.746667,10.3580
49.750000,10.3540
49.753333,10.3587
49.753333,10.3587
49.756667,10.3564
49.756667,10.3564
49.760000,10.3575
49.763333,10.3630
49.763333,10.3630
49.766667,10.3542
49.766667,10.3542
49.770000,10.3616
49.773333,10.3592
49.773333,10.3592
49.776667,10.3619
49.776667,10.3619
49.780000,10.3574
49.783333,10.3587
49.783333,10.3587
49.786667,10.3591
49.786667,10.3591
49.790000,10.3594
49.793333,10.3557
49.793333,10.3557
49.796667,10.3581
49.796667,10.3581
49.800000,10.3573
49.803333,10.3538
49.803333,10.3538
49.806667,10.3599
49.806667,10.3599
49.810000,10.3604
49.813333,10.3597
49.813333,10.3597
49.816667,10.3585
49.816667,10.3585
49.820000,10.3559
49.823333,10.3563
49.823333,10.3563
49.826667,10.3612
49.826667,10.3612
49.830000,10.3554
49.833333,10.3573
49.833333,10.3573
49.836667,10.3566
49.836667,10.3566
49.840000,10.3558
49.843333,10.3577
49.843333,10.3577
49.846667,10.3586
49.846667,10.3586
49.850000,10.3586
49.853333,10.3579
49.853333,10.3579
49.856667,10.3584
49.856667,10.3584
49.860000,10.3592
49.863333,10.3566
49.863333,10.3566
49.866667,10.3573
49.866667,10.3573
49.870000,10.3583
49.873333,10.3590
49.873333,10.3590
49.876667,10.3568
49.876667,10.3568
49.880000,10.3590
49.883333,10.3573
49.883333,10.3573
49.886667,10.3564
49.886667,10.3564
49.890000,10.3572
49.893333,10.3542
49.893333,10.3542
49.896667,10.3544
49.896667,10.3544
49.900000,10.3548
49.903333,10.3550
49.903333,10.3550
49.906667,10.3580
49.906667,10.3580
49.910000,10.3546
49.913333,10.3631
49.913333,10.3631
49.916667,10.3571
49.916667,10.3571
49.920000,10.3560
49.923333,10.3574
49.923333,10.3574
49.926667,10.3561
49.926667,10.3561
49.930000,10.3552
49.933333,10.3520
49.933333,10.3520
49.936667,10.3576
49.936667,10.3576
49.940000,10.3578
49.943333,10.3562
49.943333,10.3562
49.946667,10.3563
49.946667,10.3563
49.950000,10.3552
49.953333,10.3555
49.953333,10.3555
49.956667,10.3582
49.956667,10.3582
49.960000,10.3529
49.963333,10.3587
49.963333,10.3587
49.966667,10.3531
49.966667,10.3531
49.970000,10.3576
49.973333,10.3551
49.973333,10.3551
49.976667,10.3541
49.976667,10.3541
49.980000,10.3546
49.983333,10.3550
49.983333,10.3550
49.986667,10.3532
49.986667,10.3532
49.990000,10.3515
49.993333,10.3556
49.993333,10.3556
49.996667,10.3581
49.996667,10.3581
50.000000,10.3518
50.003333,10.3571
50.003333,10.3571
50.006667,10.3559
50.006667,10.3559
50.010000,10.3515
50.013333,10.3556
50.013333,10.3556
50.016667,10.3503
50.016667,10.3503
50.020000,10.3526
50.023333,10.3508
50.023333,10.3508
50.026667,10.3644
50.026667,10.3644
50.030000,10.3556
50.033333,10.3484
50.033333,10.3484
50.036667,10.3511
50.036667,10.3511
50.040000,10.3542
50.043333,10.3568
50.043333,10.3568
50.046667,10.3521
50.046667,10.3521
50.050000,10.3507
50.053333,10.3565
50.053333,10.3565
50.056667,10.3556
50.056667,10.3556
50.060000,10.3536
50.063333,10.3536
50.063333,10.3536
50.066667,10.3547
50.066667,10.3547
50.070000,10.3566
50.073333,10.3549
50.073333,10.3549
50.076667,10.3527
50.076667,10.3527
50.080000,10.3532
50.083333,10.3576
50.083333,10.3576
50.086667,10.3468
50.086667,10.3468
50.090000,10.3525
50.093333,10.3479
50.093333,10.3479
50.096667,10.3527
50.096667,10.3527
50.100000,10.3559
50.103333,10.3480
50.103333,10.3480
50.106667,10.3605
50.106667,10.3605
50.110000,10.3719
50.113333,10.3577
50.113333,10.3577
50.116667,10.3554
50.116667,10.3554
50.120000,10.3521
50.123333,10.3555
50.123333,10.3555
50.126667,10.3596
50.126667,10.3596
50.130000,10.3572
50.133333,10.3512
50.133333,10.3512
50.136667,10.3570
50.136667,10.3570
50.140000,10.3558
50.143333,10.3576
50.143333,10.3576
50.146667,10.3602
50.146667,10.3602
50.150000,10.3565
50.153333,10.3539
50.153333,10.3539
50.156667,10.3568
50.156667,10.3568
50.160000,10.3535
50.163333,10.3570
50.163333,10.3570
50.166667,10.3568
50.166667,10.3568
50.170000,10.3580
50.173333,10.3577
50.173333,10.3577
50.176667,10.3585
50.176667,10.3585
50.180000,10.3574
50.183333,10.3581
50.183333,10.3581
50.186667,10.3554
50.186667,10.3554
50.190000,10.3557
50.193333,10.3598
50.193333,10.3598
50.196667,10.3601
50.196667,10.3601
50.200000,10.3558
50.203333,10.3557
50.203333,10.3557
50.206667,10.3569
50.206667,10.3569
50.210000,10.3546
50.213333,10.3582
50.213333,10.3582
50.216667,10.3582
50.216667,10.3582
50.220000,10.3549
50.223333,10.3546
50.223333,10.3546
50.226667,10.3529
50.226667,10.3529
50.230000,10.3564
50.233333,10.3592
50.233333,10.3592
50.236667,10.3551
50.236667,10.3551
50.240000,10.3564
50.243333,10.3546
50.243333,10.3546
50.246667,10.3581
50.246667,10.3581
50.250000,10.3614
50.253333,10.3559
50.253333,10.3559
50.256667,10.3598
50.256667,10.3598
50.260000,10.3567
50.263333,10.3580
50.263333,10.3580
50.266667,10.3566
50.266667,10.3566
50.270000,10.3539
50.273333,10.3575
50.273333,10.3575
50.276667,10.3636
50.276667,10.3636
50.280000,10.3566
50.283333,10.3620
50.283333,10.3620
50.286667,10.3536
50.286667,10.3536
50.290000,10.3608
50.293333,10.3557
50.293333,10.3557
50.296667,10.3570
50.296667,10.3570
50.300000,10.3591
50.303333,10.3594
50.303333,10.3594
50.306667,10.3569
50.306667,10.3569
50.310000,10.3566
50.313333,10.3632
50.313333,10.3632
50.316667,10.3579
50.316667,10.3579
50.320000,10.3563
50.323333,10.3556
50.323333,10.3556
50.326667,10.3598
50.326667,10.3598
50.330000,10.3576
50.333333,10.3594
50.333333,10.3594
50.336667,10.3505
50.336667,10.3505
50.340000,10.3585
50.343333,10.3603
50.343333,10.3603
50.346667,10.3588
50.346667,10.3588
50.350000,10.3576
50.353333,10.3597
50.353333,10.3597
50.356667,10.3571
50.356667,10.3571
50.360000,10.3589
50.363333,10.3564
50.363333,10.3564
50.366667,10.3560
50.366667,10.3560
50.370000,10.3564
50.373333,10.3568
50.373333,10.3568
50.376667,10.3581
50.376667,10.3581
50.380000,10.3591
50.383333,10.3579
50.383333,10.3579
50.386667,10.3596
50.386667,10.3596
50.390000,10.3605
50.393333,10.3562
50.393333,10.3562
50.396667,10.3581
50.396667,10.3581
50.400000,10.3602
50.403333,10.3622
50.403333,10.3622
50.406667,10.3578
50.406667,10.3578
50.410000,10.3578
50.413333,10.3572
50.413333,10.3572
50.416667,10.3598
50.416667,10.3598
50.420000,10.3518
50.423333,10.3566
50.423333,10.3566
50.426667,10.3591
50.426667,10.3591
50.430000,10.3583
50.433333,10.3573
50.433333,10.3573
50.436667,10.3593
50.436667,10.3593
50.440000,10.3618
50.443333,10.3556
50.443333,10.3556
50.446667,10.3583
50.446667,10.3583
50.450000,10.3534
50.453333,10.3572
50.453333,10.3572
50.456667,10.3608
50.456667,10.3608
50.460000,10.3621
50.463333,10.3589
50.463333,10.3589
50.466667,10.3591
50.466667,10.3591
50.470000,10.3510
50.473333,10.3569
50.473333,10.3569
50.476667,10.3537
50.476667,10.3537
50.480000,10.3580
50.483333,10.3606
50.483333,10.3606
50.486667,10.3569
50.486667,10.3569
50.490000,10.3592
50.493333,10.3587
50.493333,10.3587
50.496667,10.3598
50.496667,10.3598
50.500000,10.3566
50.503333,10.3496
50.503333,10.3496
50.506667,10.3572
50.506667,10.3572
50.510000,10.3582
50.513333,10.3569
50.513333,10.3569
50.516667,10.3605
50.516667,10.3605
50.520000,10.3597
50.523333,10.3558
50.523333,10.3558
50.526667,10.3566
50.526667,10.3566
50.530000,10.3559
50.533333,10.3575
50.533333,10.3575
50.536667,10.3570
50.536667,10.3570
50.540000,10.3557
50.543333,10.3613
50.543333,10.3613
50.546667,10.3552
50.546667,10.3552
50.550000,10.3560
50.553333,10.3580
50.553333,10.3580
50.556667,10.3610
50.556667,10.3610
50.560000,10.3592
50.563333,10.3577
50.563333,10.3577
50.566667,10.3567
50.566667,10.3567
50.570000,10.3590
50.573333,10.3553
50.573333,10.3553
50.576667,10.3579
50.576667,10.3579
50.580000,10.3575
50.583333,10.3561
50.583333,10.3561
50.586667,10.3604
50.586667,10.3604
50.590000,10.3582
50.593333,10.3551
50.593333,10.3551
50.596667,10.3569
50.596667,10.3569
50.600000,10.3560
50.603333,10.3603
50.603333,10.3603
50.606667,10.3583
50.606667,10.3583
50.610000,10.3551
50.613333,10.3557
50.613333,10.3557
50.616667,10.3539
50.616667,10.3539
50.620000,10.3573
50.623333,10.3583
50.623333,10.3583
50.626667,10.3590
50.626667,10.3590
50.630000,10.3574
50.633333,10.3591
50.633333,10.3591
50.636667,10.3592
50.636667,10.3592
50.640000,10.3585
50.643333,10.3541
50.643333,10.3541
50.646667,10.3580
50.646667,10.3580
50.650000,10.3584
50.653333,10.3540
50.653333,10.3540
50.656667,10.3564
50.656667,10.3564
50.660000,10.3573
50.663333,10.3569
50.663333,10.3569
50.666667,10.3593
50.666667,10.3593
50.670000,10.3535
50.673333,10.3570
50.673333,10.3570
50.676667,10.3561
50.676667,10.3561
50.680000,10.3579
50.683333,10.3581
50.683333,10.3581
50.686667,10.3590
50.686667,10.3590
50.690000,10.3565
50.693333,10.3577
50.693333,10.3577
50.696667,10.3568
50.696667,10.3568
50.700000,10.3554
50.703333,10.3620
50.703333,10.3620
50.706667,10.3515
50.706667,10.3515
50.710000,10.3561
50.713333,10.3578
50.713333,10.3578
50.716667,10.3554
50.716667,10.3554
50.720000,10.3549
50.723333,10.3558
50.723333,10.3558
50.726667,10.3558
50.726667,10.3558
50.730000,10.3551
50.733333,10.3587
50.733333,10.3587
50.736667,10.3569
